ORIGEN;DESTINO
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SAN VICENTE DEL CAGUAN
ARAUCA;MEDELLIN
ARAUCA;VILLAVICENCIO
BAJO BAUDO;MEDELLIN
CALI;MEDELLIN
BARRANCABERMEJA;VILLAVICENCIO
MEDELLIN;BAJO BAUDO
MEDELLIN;CALI
MEDELLIN;EL YOPAL
MEDELLIN;NUQUI
MEDELLIN;NEIVA
MEDELLIN;URRAO
EL YOPAL;ARAUCA
EL YOPAL;VILLAVICENCIO
PUERTO INIRIDA;VILLAVICENCIO
PUERTO LEGUIZAMO;NEIVA
PUERTO LEGUIZAMO;PUERTO ASIS
MAPIRIPAN;LA URIBE
SAN MARTIN;VILLAVICENCIO
MITU;PUERTO INIRIDA
NUQUI;MEDELLIN
NUQUI;QUIBDO
NEIVA;MEDELLIN
NEIVA;PUERTO LEGUIZAMO
NEIVA;SAN MARTIN
NEIVA;POPAYAN
NEIVA;VILLAVICENCIO
PUERTO GAITAN;MAPIRIPAN
PUERTO GAITAN;VILLAVICENCIO
POPAYAN;NEIVA
PUERTO ASIS;NEIVA
PUERTO ASIS;VILLAVICENCIO
SARAVENA;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;PUERTO ASIS
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SAN VICENTE DEL CAGUAN;VILLAVICENCIO
TAME;VILLAVICENCIO
QUIBDO;NUQUI
LA URIBE;VILLAVICENCIO
URRAO;MEDELLIN
VILLAVICENCIO;ARAUCA
VILLAVICENCIO;BARRANCABERMEJA
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;MITU
VILLAVICENCIO;NEIVA
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;PUERTO ASIS
VILLAVICENCIO;SARAVENA
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SAN VICENTE DEL CAGUAN
VILLAVICENCIO;TAME
BARRANQUILLA;FLORENCIA
BAJO BAUDO;MEDELLIN
BAJO BAUDO;IBAGUE
BAJO BAUDO;QUIBDO
BUCARAMANGA;MEDELLIN
BOGOTA;MEDELLIN
BOGOTA;VILLAVICENCIO
CARTAGO;MEDELLIN
EL BAGRE;MEDELLIN
MEDELLIN;BARRANQUILLA
MEDELLIN;BAJO BAUDO
MEDELLIN;BUCARAMANGA
MEDELLIN;CARTAGO
MEDELLIN;EL BAGRE
MEDELLIN;NUQUI
MEDELLIN;QUIBDO
FLORENCIA;MEDELLIN
NUQUI;MEDELLIN
NUQUI;QUIBDO
QUIBDO;BAJO BAUDO
QUIBDO;MEDELLIN
QUIBDO;NUQUI
VILLAVICENCIO;BOGOTA
SAN FELIPE;PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
PUERTO LOPEZ;VILLAVICENCIO
PUERTO INIRIDA;SAN FELIPE
PUERTO INIRIDA;GUAINIA (BARRANCO MINAS)
LA MACARENA;VILLAVICENCIO
OROCUE;VILLAVICENCIO
PUERTO CARRENO;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;PUERTO LOPEZ
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;OROCUE
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
LA JAGUA IBIRICO;EL CHARCO
PUERTO GAITAN;BOGOTA
PUERTO GAITAN;BOGOTA
ACANDI;MEDELLIN
SAN ANDRES;SAN ANDRES
SAN ANDRES;PROVIDENCIA
AGUACHICA;BOGOTA
ST. JOHN'S;BOGOTA
ARAUCA;BOGOTA
BARRANQUILLA;BOGOTA
BARRANQUILLA;LOMA DE CHIRIGUANA
BARRANQUILLA;NEIVA
BARRANQUILLA;SANTA MARTA
BUCARAMANGA;BOGOTA
BUCARAMANGA;RIONEGRO - ANTIOQUIA
BUCARAMANGA;PUERTO GAITAN
BOGOTA;PUERTO GAITAN
BOGOTA;PUERTO GAITAN
BOGOTA;AGUACHICA
BOGOTA;ST. JOHN'S
BOGOTA;ARAUCA
BOGOTA;BARRANQUILLA
BOGOTA;BUCARAMANGA
BOGOTA;BOGOTA
BOGOTA;CARTAGO
BOGOTA;CALI
BOGOTA;CARTAGENA
BOGOTA;CUCUTA
BOGOTA;MEDELLIN
BOGOTA;EL YOPAL
BOGOTA;FLORENCIA
BOGOTA;FLANDES
BOGOTA;IBAGUE
BOGOTA;LETICIA
BOGOTA;LIMA
BOGOTA;LA MACARENA
BOGOTA;RIONEGRO - ANTIOQUIA
BOGOTA;MONTERIA
BOGOTA;PUERTO CARRENO
BOGOTA;PEREIRA
BOGOTA;PUERTO GAITAN
BOGOTA;PUERTO ESPANA
BOGOTA;PITALITO
BOGOTA;PUERTO ASIS
BOGOTA;RIOHACHA
BOGOTA;SARAVENA
BOGOTA;SAN GIL
BOGOTA;SAN JOSE DEL GUAVIARE
BOGOTA;SANTA MARTA
BOGOTA;TACHIRA
BOGOTA;TAME
BOGOTA;QUITO
BOGOTA;VILLA GARZON
BOGOTA;VILLANUEVA - CASANARE
BOGOTA;VILLAVICENCIO
BARBOSA - SANTANDER;QUIBDO
BAHIA SOLANO;CARTAGO
BAHIA SOLANO;MEDELLIN
BAHIA SOLANO;SAN GIL
BAHIA SOLANO;QUIBDO
CARTAGO;BOGOTA
CARTAGO;BAHIA SOLANO
CARTAGO;MEDELLIN
CARTAGO;NUQUI
CALI;BOGOTA
CALI;NEIVA
CONDOTO;MEDELLIN
CAPURGANA;MEDELLIN
